Record Id,Category,Sub Category,Priority
hMnJkTGJ,5PWwPliO,Buffer Pads,99
PGwYVxHY,5PWwPliO,Dust Collection,99
jWRG4hWd,5PWwPliO,Finishing tools,99
FOFovhzV,5PWwPliO,Handtools,99
Lhkw9q4k,5PWwPliO,Non Standard tools,99
ATalWlXX,5PWwPliO,Power,99
KAiB3O7o,5PWwPliO,Sanders,99
E0gQ4NAB,5PWwPliO,Sandpaper Grit,99
ndvDkZZQ,5PWwPliO,Sandpaper type,99
6mD67q2x,5PWwPliO,Trim & Vents,99
xiPwnrOZ,5PWwPliO,Wood Species,99
5egAWOly,8JYsNyZX,Belt Sander skills,99
wuKpcL6E,8JYsNyZX,Buffer skills,99
Ixl0CN1T,8JYsNyZX,Cabinet scraper skills,99
o4Iw2Zba,8JYsNyZX,Edger sanding skills,99
pqGF3XS4,8JYsNyZX,Floor scrubber skills,99
URQkKiX4,8JYsNyZX,Hand sanding skills,99
18JxK532,8JYsNyZX,Orbital Sander skills,99
w0rAZkVr,8JYsNyZX,Planetary Sander skills,99
OrFf5BQ7,8JYsNyZX,Power hook up skills,99
IVNvFqkz,8JYsNyZX,Roller skills,99
jefE624Q,8JYsNyZX,Site Cleanliness,99
paZTuwn4,8JYsNyZX,Site Protection,99
aUcOjURA,8JYsNyZX,Stain skills,99
3XcqjAUc,8JYsNyZX,Standard scraper skills,99
qeQ61e4G,8JYsNyZX,Steps skills,99
HiwY3UPz,8JYsNyZX,Tack Stick skills,99
LKh05ag6,8JYsNyZX,Toe Kick Edger skills,99
jZ8Q34Ym,8JYsNyZX,Toe kick edger skills,99
KxHy5k2t,8JYsNyZX,Treads,99
bIn96jPx,8JYsNyZX,Trim Pad/ Brush skills,99
DTnhrYFl,8JYsNyZX,Trim/ Door Removal & Installation skills,99
u8Gm578Y,8JYsNyZX,Trowel skills,2
7fqhRGZj,8JYsNyZX,Vacuum Skills,3
1DmB6lgI,8JYsNyZX,Vent Installation skills,99
0c8a97a4,da36834f,ADP,1
52c2ffd8,da36834f,Apps,2
3eeb1815,da36834f,Company cam,1
6c46d76e,da36834f,Google calendar,1
1b33a884,da36834f,Invoices/ work orders,1
eslQG0vy,lq4mtIrq,Acclimation and Environmental Readings,99
d744f473,lq4mtIrq,Adhesive application,99
Z2PjMsAC,lq4mtIrq,Close outs,99
RoVTI7IZ,lq4mtIrq,Demo,99
zZPZD2B1,lq4mtIrq,fastening,99
Jc2ZE54P,lq4mtIrq,General skills,99
2ab72251,lq4mtIrq,Herringbone floor installation,99
ZRM4lJaP,lq4mtIrq,Job site Protection,99
A2hFlbMU,lq4mtIrq,Layout and starter row,99
KWmgyl3h,lq4mtIrq,Leveling,99
F83DCVWf,lq4mtIrq,Moisture barriers,99
LjRTUptc,lq4mtIrq,Site Prep,99
OuwjWnon,lq4mtIrq,Subfloor,99
227dd553,lq4mtIrq,Trim and Transitions,99
b47eb96a,mnH38tQ0,Demo/ Prep,99
08b34561,mnH38tQ0,Finishing,99
8e1648f9,mnH38tQ0,Installation,99
60c96f41,mnH38tQ0,Sanding,99
p2jULjQk,P9555qGZ,Board replacement,99
oHXXraXf,P9555qGZ,Hotmelt filler,99
vJKsuIYp,P9555qGZ,Sanding/ top coat repair,99
019gGUrt,P9555qGZ,Wax/ putty repairs,99
IvLN5Yjj,y6ZXyYam,15-Gauge Finish Nailer,2
ITy6b1Yo,y6ZXyYam,18-Gauge Brad Nailer,2
PNsHlFI3,y6ZXyYam,23-Gauge Micro Pin Nailer,2
UWWCEdeB,y6ZXyYam,"4"" Grinder",3
4HHiYc8N,y6ZXyYam,6-Inch Grinder with Diamond Cup Wheel,3
8RQWGvmI,y6ZXyYam,Air Compressor,2
H55WxUFk,y6ZXyYam,Air Sled,2
218pXetn,y6ZXyYam,Backpack Vac,2
mvaMS4IU,y6ZXyYam,Belt Sander,3
JwKpj746,y6ZXyYam,Dehumidifier,2
5hcRbvnh,y6ZXyYam,Dust Collection,2
m5QjJdsc,y6ZXyYam,Flooring Cleat Nailer,2
dwLOfAHh,y6ZXyYam,Flooring stapler,2
SRdgJTrq,y6ZXyYam,Jig Saw,2
07a569a2,y6ZXyYam,Little giant ladder,2
2rBRGCgI,y6ZXyYam,"Medusaw ""demo saw""",3
AuenW7Lv,y6ZXyYam,Miter saw,2
7w84wGK9,y6ZXyYam,Oscillating Saw,2
892b7d74,y6ZXyYam,Powerdrive,3
Vm0bDEad,y6ZXyYam,Quick Drive Screw Gun,2
7a8214e2,y6ZXyYam,Rotex 150,2
HPhf0Y8d,y6ZXyYam,Router,3
d0e51935,y6ZXyYam,Safety and PPE,1
090af0dd,y6ZXyYam,Sausage gun,2
hKsfkYwk,y6ZXyYam,Standard Edger,2
p1tfKPMt,y6ZXyYam,Table Saw,2
8c7b5bae,y6ZXyYam,Toe kick edger,2
oaxX3bCu,y6ZXyYam,Toe Kick saw,3
kOCN2ZqG,y6ZXyYam,Track Saw,3
1zKBXUGk,y6ZXyYam,Under cut saw,2
